pillar_page,pillar_slug,layer,layer_description,article_id,article_title_placeholder,link_anchor_text,link_type,priority
Music Pillar,music-pillar,Layer 1 - TOP 5,Core high-traffic articles,30121,Yohee 樂評,Yohee 又熙《如果我是個玩咖》樂評,Pillar→Article,P0
Music Pillar,music-pillar,Layer 1 - TOP 5,Core high-traffic articles,34942,Kanye West 樂評,Kanye West《Bully》深度分析,Pillar→Article,P0
Music Pillar,music-pillar,Layer 1 - TOP 5,Core high-traffic articles,34935,Central Cee 樂評,Central Cee《All Roads Lead Home》評測,Pillar→Article,P0
Music Pillar,music-pillar,Layer 1 - TOP 5,Core high-traffic articles,34893,Sarah Chen 樂評,Sarah Chen 靈魂樂專題,Pillar→Article,P0
Music Pillar,music-pillar,Layer 1 - TOP 5,Core high-traffic articles,26085,Jacob Collier 樂評,Jacob Collier 編曲分析,Pillar→Article,P0
Music Pillar,music-pillar,Layer 2 - Related Artists,Same-category artist connections,,屁孩專題,屁孩與台灣嘻哈新聲,Pillar→Article,P1
Music Pillar,music-pillar,Layer 2 - Related Artists,Same-category artist connections,,Barry Chen 音樂故事,Barry Chen 合作分析,Pillar→Article,P1
Music Pillar,music-pillar,Layer 2 - Related Artists,Same-category artist connections,,台灣嘻哈生態,台灣嘻哈藝人地圖,Pillar→Article,P1
Music Pillar,music-pillar,Layer 3 - Music Education,Foundational music knowledge,,嘻哈歷史簡編,Hip-Hop 文化與社會運動,Pillar→Article,P2
Music Pillar,music-pillar,Layer 3 - Music Education,Foundational music knowledge,,爵士樂基礎概念,爵士樂即興與編排,Pillar→Article,P2
Music Pillar,music-pillar,Layer 3 - Music Education,Foundational music knowledge,,編曲技巧工作坊,現代編曲與和聲設計,Pillar→Article,P2
Music Pillar,music-pillar,Layer 3 - Music Education,Foundational music knowledge,,樂器介紹系列 - 鋼琴,鋼琴在現代製作中的角色,Pillar→Article,P2
Music Pillar,music-pillar,Layer 3 - Music Education,Foundational music knowledge,,樂器介紹系列 - 吉他,吉他技巧與音色選擇,Pillar→Article,P2
Music Pillar,music-pillar,Layer 3 - Music Education,Foundational music knowledge,,樂器介紹系列 - 鼓組,鼓組編程與節奏設計,Pillar→Article,P2
