article_id,article_title,url,category,pub_date,author_id,featured_media,priority,pillar_page,link_count_planned,status
34942,從瘋子到王者：Kanye West《Bully》全解析,https://yololab.net/archives/kanye-west-bully-album-analysis,Music,2026-04-01,125783300,34946,P0,music-pillar,5,TOP5
34935,Central Cee 2026 新碟解析：從聲學工藝看見 UK Drill 的暗黑巔峰,https://yololab.net/archives/central-cee-all-roads-lead-home-review,Music,2026-03-31,125783300,34938,P0,music-pillar,4,TOP5
34899,誰說老男人沒戲？《NO GOOD！歐吉桑》影帝級演技砸碎平庸爛片死水,https://yololab.net/archives/no-good-ogs-movie-review-christopher-lee-mark-lee,Film,2026-03-29,125783300,34902,P0,film-pillar,4,TOP3
34893,柏克萊才女陳以諾《慢花誌》：跨國陣容重塑客語靈魂樂標竿,https://yololab.net/archives/sarah-chen-slow-blooming-soul-music,Music,2026-03-29,125783300,34897,P0,music-pillar,3,TOP5
34888,2026誠品電影院：賈樟柯、庫柏力克神作大銀幕重映全攻略,https://yololab.net/archives/eslite-art-house-2026-movie-guide,Film,2026-03-29,125783300,34892,P0,film-pillar,3,TOP3
34881,算力階級論：靠 AI IDE 與多 Agent 協作終結 Token 焦慮,https://yololab.net/archives/ai-ide-agent-collaboration-survival-guide,Tech,2026-03-25,125783300,34886,P0,tech-pillar,5,TOP3
34875,伯朗黑糖奶茶 580ml 35元 | 100%台灣黑糖實測評比,https://yololab.net/archives/mr-brown-brown-sugar-milk-tea-review,Lifestyle,2026-03-25,125783300,34876,P3,none,0,Other
34870,《Moto極速傳奇》MotoGP 官方授權 5/8 上映 | 300km 真實拍攝,https://yololab.net/archives/moto-legend-motogp-movie-release,Film,2026-03-25,125783300,34872,P0,film-pillar,4,TOP3
34853,OpenAI 算力配給真相：4/2 大限電前準備備援機制,https://yololab.net/archives/ai-computing-power-rationing-survival,Tech,2026-03-23,125783300,34856,P0,tech-pillar,4,TOP3
34848,拍謝少年 x PEDRO 演唱會 5/22 南港 SUB,https://yololab.net/archives/sorry-youth-pedro-outta-my-way-taiwan-live,Music,2026-03-23,125783300,34850,P1,music-pillar,3,P1
34844,Kodaline 台北告別演唱會 8/24 TICC,https://yololab.net/archives/kodaline-farewell-tour-taipei-2026,Music,2026-03-23,125783300,34846,P1,music-pillar,3,P1
34839,巴黎奧運十強選誰當隊友？Clayton Young 攜手 BROOKS,https://yololab.net/archives/clayton-young-brooks-boston-marathon,Lifestyle,2026-03-21,125783300,34840,P3,none,0,Other
34836,秀集團十週年《AS= =+》搶票指南,https://yololab.net/archives/bamazing-group-as-concert-chiayi-10th-anniversary,Music,2026-03-21,125783300,34837,P1,music-pillar,3,P1
34831,影史核爆《寒戰1994》IMAX滿版狂飆,https://yololab.net/archives/cold-war-1994-imax-review,Film,2026-03-21,125783300,34834,P1,film-pillar,3,P1
34826,影后岸井雪乃對決曾敬驊！《鼠一般的你》台北取景亮點,https://yololab.net/archives/the-mice-yoshimoto-banana-film-review-taipei,Film,2026-03-21,125783300,34829,P1,film-pillar,3,P1
34821,5/15上映！《傳奇女伶 高菊花》必看亮點,https://yololab.net/archives/gao-juhua-legendary-diva-painana-documentary,Film,2026-03-21,125783300,34823,P1,film-pillar,3,P1
34816,從金曲新人到靈魂導師！南穎 Fiona 用 R&B 拆解關係中的「依附病理」,https://yololab.net/archives/fiona-nan-ying-spring-parasitic-flower-rb-ep,Music,2026-03-21,125783300,34817,P1,music-pillar,3,P1
34809,港都最強爵士盛會！高流爵對有春回歸,https://yololab.net/archives/kmc-jazz-spring-fest-guide,Music,2026-03-19,125783300,34810,P1,music-pillar,3,P1
34804,10天飆破1.25億！《愛在每一天》艾琳維拉莫解剖愛情,https://yololab.net/archives/always-movie-review-irene-villamor-analysis,Film,2026-03-19,125783300,34805,P1,film-pillar,3,P1
34798,別再忍受腳底慘叫！2026 SKECHERS 穿搭指南,https://yololab.net/archives/skechers-2026-us-fashion-market-growth,Lifestyle,2026-03-18,125783300,34800,P3,none,0,Other
34794,JOYCE 就以斯《才華換桃花》專場,https://yololab.net/archives/joyce-talent-peach-blossom-concert-review,Music,2026-03-18,125783300,34796,P1,music-pillar,3,P1
34788,別在串流看！《死亡賭局》4/24 全台開局,https://yololab.net/archives/death-betting-taiwan-crime-movie-review,Film,2026-03-18,125783300,34791,P1,film-pillar,3,P1
34784,拋棄CG肉身獻祭！《捕風追影》成龍梁家輝搏命,https://yololab.net/archives/catching-shadow-movie-imax-review,Film,2026-03-18,125783300,34786,P1,film-pillar,3,P1
34778,為什麼你必須聽 LITTLE JOHN？首張專輯《LITTLE SIZE》揭秘新世代集體焦慮,https://yololab.net/archives/little-john-little-size-thai-rock-album-review,Music,2026-03-18,125783300,34782,P1,music-pillar,3,P1
34761,茱蒂佛斯特《私人診間疑雲》：這場 120 分鐘的密室洗禮,https://yololab.net/archives/jodie-foster-private-consultation-mystery-review,Film,2026-03-17,125783300,34764,P1,film-pillar,3,P1
34757,史匹柏《揭密日》到底拍了什麼？IMAX 70mm 揭開宇宙崩潰的真相,https://yololab.net/archives/spielberg-the-event-imax-70mm-review,Film,2026-03-16,125783300,34759,P1,film-pillar,3,P1
34752,窒息感滿分！《死亡賭局》春風影帝級演出,https://yololab.net/archives/death-bet-movie-review-spring-wind-crime-thriller,Film,2026-03-16,125783300,34755,P1,film-pillar,3,P1
34739,羊米人 YUMMY MAN 專屬巴士直達四重溪,https://yololab.net/archives/yummy-man-expedition-sizhongxi-hot-spring-tour,Lifestyle,2026-03-12,125783300,34741,P3,none,0,Other
34735,奧斯卡神作《小雨愛蜜莉》3/13上映,https://yololab.net/archives/amelie-in-the-rain-hideo-kojima-review,Film,2026-03-12,125783300,34736,P2,film-pillar,3,P2
34724,2026 aDAN薛詒丹 5/3 登陸SUB!,https://yololab.net/archives/adan-concert-2026-sub-lonely-goldfish,Music,2026-03-12,125783300,34744,P1,music-pillar,3,P1
34719,梁家輝《捕風追影》金像獎封神！,https://yololab.net/archives/catch-wind-chase-shadow-tony-leung-imax-review,Film,2026-03-12,125783300,34721,P2,film-pillar,3,P2
34714,萬金石馬拉松最強應援：SKECHERS x 亞尼克,https://yololab.net/archives/skechers-yannick-wanjinshi-2026-recovery,Lifestyle,2026-03-11,125783300,34716,P3,none,0,Other
34709,STAY 必看！Stray Kids 演唱會電影朝聖清單,https://yololab.net/archives/stray-kids-dominate-experience-movie,Film,2026-03-11,125783300,34712,P2,film-pillar,3,P2
34702,2026 Organik 全攻略：DJ NOBU 領軍,https://yololab.net/archives/2026-organik-festival-guide,Music,2026-03-11,125783300,34704,P1,music-pillar,3,P1
34697,超級瑪利歐銀河電影版 4/1 上映！,https://yololab.net/archives/super-mario-galaxy-movie-trailer-tickets,Film,2026-03-11,125783300,34700,P2,film-pillar,3,P2
34691,誠品變電音夜店？「台語情歌遶境」刷碟狂飆,https://yololab.net/archives/eslite-taiwanese-love-song-party-2026,Music,2026-03-11,125783300,34694,P1,music-pillar,3,P1
34686,崩潰家長必看放電全攻略！Baby Shark 臺北展覽,https://yololab.net/archives/baby-shark-ocean-adventure-ntsec-taipei,Lifestyle,2026-03-11,125783300,34689,P3,none,0,Other
34676,NBA瘋了！Bam Adebayo單場83分,https://yololab.net/archives/adebayo-83-points-nba-record-heat-kobe,Lifestyle,2026-03-11,125783300,34680,P3,none,0,Other
34673,延續五木大學傳奇！方宥心、黃鐙輝,https://yololab.net/archives/sakura-mama-musical-review,Lifestyle,2026-03-11,125783300,34684,P3,none,0,Other
34671,2026 古典樂必看攻略：法國 Arod 與韓國 Novus,https://yololab.net/archives/eslite-chamber-music-festival-2026-arod-novus,Music,2026-03-12,125783300,34748,P2,music-pillar,3,P2
34666,所有人都在瘋「養龍蝦」？看懂 OpenClaw,https://yololab.net/archives/openclaw-ai-agent-one-person-company,Tech,2026-03-12,125783300,34733,P1,tech-pillar,3,P1
34647,為 AI Agent 打造專屬 CLI,https://yololab.net/archives/cli-redesign-for-ai-agents,Tech,2026-03-10,125783300,34668,P2,tech-pillar,3,P2
34640,跑鞋戰力全面升級！直擊 BROOKS SOGO 新據點,https://yololab.net/archives/brooks-taipei-sogo-opening-5k-run,Lifestyle,2026-03-04,125783300,34642,P3,none,0,Other
34635,沈玉琳《黑白威廉Fighting》全透視戰車殺入街頭,https://yololab.net/archives/shen-yulin-fighting-street-reality-aesthetic,Lifestyle,2026-03-04,125783300,34638,P3,none,0,Other
34629,2026台片神作！春風黃奇斌《死亡賭局》,https://yololab.net/archives/death-gambit-taiwan-crime-review,Film,2026-03-04,125783300,34633,P2,film-pillar,3,P2
34599,苦等23年紫雨林逼哭全場！揭秘2026浮現祭,https://yololab.net/archives/2026-emerge-fest-record-taiwan-concerts,Music,2026-03-03,125783300,34603,P2,music-pillar,3,P2
34593,2026 孫燕姿大巨蛋搶票全攻略,https://yololab.net/archives/stefanie-sun-taipei-dome-concert-2026,Music,2026-03-04,125783300,34596,P2,music-pillar,3,P2
34573,HOLA冬出清3折起！SITS波蘭沙發,https://yololab.net/archives/hola-winter-clearance-sits-sofa-sale,Lifestyle,2026-02-26,125783300,34575,P3,none,0,Other
34568,李銘順、李國煌神作！《NO GOOD！歐吉桑》,https://yololab.net/archives/no-good-uncle-movie-review,Film,2026-02-26,125783300,34571,P2,film-pillar,3,P2
